,student_id,student_name_x,email_x,course,admission_date,admission_status,total_fee,paid_fee,Old_payment_status,payment_status,balance,delayed_payment,needs_reminder
0,STU-1000,Kiran Iyer,kiran.39@mail.com,BBA,2024-06-01 00:00:00,Rejected,106092,106092,Paid,PAID,0,0,0
1,STU-1001,Rohit Reddy,rohit.46@mail.com,MBA,2024-06-01 01:00:00,Rejected,72408,72408,Paid,PAID,0,0,0
2,STU-1002,Emma Taylor,emma.86@mail.com,B.Tech,2024-06-01 02:00:00,Waitlisted,155578,155578,Paid,PAID,0,0,0
3,STU-1003,Vivek Nair,vivek.81@mail.com,B.Tech,2024-06-01 03:00:00,Waitlisted,97216,43360,Partially Paid,PENDING,53856,1,1
4,STU-1004,Amit Sharma,amit.36@mail.com,BBA,2024-06-01 04:00:00,Waitlisted,174295,86980,Pending,PENDING,87315,1,1
5,STU-1005,Manish Verma,manish.16@mail.com,B.Tech,2024-06-01 05:00:00,Waitlisted,179434,93158,Partially Paid,PENDING,86276,1,1
6,STU-1006,Anita Nair,anita.60@mail.com,BCA,2024-06-01 06:00:00,Rejected,149305,82440,Pending,PENDING,66865,1,1
7,STU-1007,Michael Thomas,michael.60@mail.com,B.Tech,2024-06-01 07:00:00,Waitlisted,166207,166207,Pending,PAID,0,0,0
8,STU-1008,Manish Iyer,manish.75@mail.com,MCA,2024-06-01 08:00:00,Waitlisted,196568,139594,Partially Paid,PENDING,56974,1,0
9,STU-1009,Karthik Das,karthik.73@mail.com,B.Tech,2024-06-01 09:00:00,Waitlisted,67394,61668,Pending,PENDING,5726,1,0
10,STU-1010,Sarah Lee,sarah.87@mail.com,BCA,2024-06-01 10:00:00,Waitlisted,110685,110685,Partially Paid,PAID,0,0,0
11,STU-1011,Nisha Singh,nisha.71@mail.com,MCA,2024-06-01 11:00:00,Admitted,167646,167646,Partially Paid,PAID,0,0,0
12,STU-1012,Amit Patel,amit.20@mail.com,BCA,2024-06-01 12:00:00,Admitted,64860,64860,Paid,PAID,0,0,0
13,STU-1013,Priya Reddy,priya.47@mail.com,BBA,2024-06-01 13:00:00,Waitlisted,142113,80825,Pending,PENDING,61288,1,1
14,STU-1014,Emily Brown,emily.75@mail.com,MBA,2024-06-01 14:00:00,Rejected,186020,63025,Partially Paid,PENDING,122995,1,1
15,STU-1015,Rohit Singh,rohit.86@mail.com,MCA,2024-06-01 15:00:00,Waitlisted,162385,162385,Paid,PAID,0,0,0
16,STU-1016,Amit Choudhary,amit.83@mail.com,MBA,2024-06-01 16:00:00,Admitted,125285,80004,Partially Paid,PENDING,45281,1,1
17,STU-1017,Divya Singh,divya.48@mail.com,BBA,2024-06-01 17:00:00,Rejected,197401,32221,Partially Paid,PENDING,165180,1,1
18,STU-1018,Karthik Iyer,karthik.75@mail.com,MBA,2024-06-01 18:00:00,Waitlisted,121381,87930,Partially Paid,PENDING,33451,1,0
19,STU-1019,Kiran Iyer,kiran.15@mail.com,MCA,2024-06-01 19:00:00,Admitted,171254,91465,Partially Paid,PENDING,79789,1,1
20,STU-1020,Sanjay Patel,sanjay.84@mail.com,MBA,2024-06-01 20:00:00,Admitted,54364,54364,Paid,PAID,0,0,0
21,STU-1021,Kiran Patel,kiran.96@mail.com,BBA,2024-06-01 21:00:00,Admitted,154547,154547,Pending,PAID,0,0,0
22,STU-1022,Rajesh Nair,rajesh.13@mail.com,BCA,2024-06-01 22:00:00,Waitlisted,150234,75226,Pending,PENDING,75008,1,1
23,STU-1023,Arjun Nair,arjun.82@mail.com,BCA,2024-06-01 23:00:00,Admitted,168572,50585,Partially Paid,PENDING,117987,1,1
24,STU-1024,Priya Das,priya.48@mail.com,BBA,2024-06-02 00:00:00,Rejected,199268,113069,Partially Paid,PENDING,86199,1,1
25,STU-1025,Divya Sharma,divya.79@mail.com,B.Tech,2024-06-02 01:00:00,Rejected,178224,144261,Pending,PENDING,33963,1,0
26,STU-1026,Manish Singh,manish.19@mail.com,BBA,2024-06-02 02:00:00,Waitlisted,27134,27134,Paid,PAID,0,0,0
27,STU-1027,Divya Nair,divya.62@mail.com,MCA,2024-06-02 03:00:00,Admitted,48104,48104,Paid,PAID,0,0,0
28,STU-1028,Anita Gupta,anita.62@mail.com,MCA,2024-06-02 04:00:00,Rejected,91894,91894,Paid,PAID,0,0,0
29,STU-1029,Deepa Reddy,deepa.32@mail.com,B.Tech,2024-06-02 05:00:00,Waitlisted,180053,24427,Partially Paid,PENDING,155626,1,1
30,STU-1030,Vivek Gupta,vivek.85@mail.com,MBA,2024-06-02 06:00:00,Admitted,85398,85398,Paid,PAID,0,0,0
31,STU-1031,Nisha Choudhary,nisha.91@mail.com,MCA,2024-06-02 07:00:00,Admitted,23271,23271,Paid,PAID,0,0,0
32,STU-1032,Arjun Singh,arjun.11@mail.com,MBA,2024-06-02 08:00:00,Admitted,167009,167009,Paid,PAID,0,0,0
33,STU-1033,Neha Gupta,neha.13@mail.com,BBA,2024-06-02 09:00:00,Rejected,144689,34698,Partially Paid,PENDING,109991,1,1
34,STU-1034,Rohit Sharma,rohit.99@mail.com,BCA,2024-06-02 10:00:00,Waitlisted,49755,49755,Paid,PAID,0,0,0
35,STU-1035,Manish Gupta,manish.46@mail.com,MBA,2024-06-02 11:00:00,Admitted,132036,81281,Partially Paid,PENDING,50755,1,1
36,STU-1036,Amit Reddy,amit.93@mail.com,MCA,2024-06-02 12:00:00,Waitlisted,166561,166561,Pending,PAID,0,0,0
37,STU-1037,Rahul Nair,rahul.32@mail.com,B.Tech,2024-06-02 13:00:00,Admitted,72760,72760,Paid,PAID,0,0,0
38,STU-1038,Michael Thomas,michael.18@mail.com,BCA,2024-06-02 14:00:00,Admitted,143990,143990,Partially Paid,PAID,0,0,0
39,STU-1039,Rahul Nair,rahul.43@mail.com,MCA,2024-06-02 15:00:00,Rejected,182742,72056,Partially Paid,PENDING,110686,1,1
40,STU-1040,Nisha Singh,nisha.94@mail.com,MCA,2024-06-02 16:00:00,Rejected,177555,177555,Pending,PAID,0,0,0
41,STU-1041,Priya Das,priya.22@mail.com,BCA,2024-06-02 17:00:00,Admitted,99140,99140,Paid,PAID,0,0,0
42,STU-1042,Emily Williams,emily.47@mail.com,BCA,2024-06-02 18:00:00,Rejected,176499,176499,Pending,PAID,0,0,0
43,STU-1043,Sneha Singh,sneha.73@mail.com,MCA,2024-06-02 19:00:00,Waitlisted,120396,120396,Partially Paid,PAID,0,0,0
44,STU-1044,Sneha Reddy,sneha.71@mail.com,MCA,2024-06-02 20:00:00,Admitted,40361,40361,Paid,PAID,0,0,0
45,STU-1045,Sneha Das,sneha.15@mail.com,B.Tech,2024-06-02 21:00:00,Waitlisted,160094,113538,Partially Paid,PENDING,46556,1,0
46,STU-1046,Manish Das,manish.43@mail.com,MCA,2024-06-02 22:00:00,Admitted,76114,76114,Paid,PAID,0,0,0
47,STU-1047,Arjun Sharma,arjun.50@mail.com,BCA,2024-06-02 23:00:00,Admitted,83185,83185,Partially Paid,PAID,0,0,0
48,STU-1048,Sarah Moore,sarah.74@mail.com,BBA,2024-06-03 00:00:00,Rejected,168878,51874,Partially Paid,PENDING,117004,1,1
49,STU-1049,Divya Singh,divya.88@mail.com,MCA,2024-06-03 01:00:00,Admitted,159149,159149,Paid,PAID,0,0,0
50,STU-1050,Manish Gupta,manish.30@mail.com,MCA,2024-06-03 02:00:00,Rejected,146592,40124,Pending,PENDING,106468,1,1
51,STU-1051,Neha Verma,neha.73@mail.com,BBA,2024-06-03 03:00:00,Waitlisted,190543,14124,Pending,PENDING,176419,1,1
52,STU-1052,Divya Reddy,divya.60@mail.com,MBA,2024-06-03 04:00:00,Waitlisted,165968,165968,Partially Paid,PAID,0,0,0
53,STU-1053,Arjun Patel,arjun.38@mail.com,B.Tech,2024-06-03 05:00:00,Admitted,33931,33931,Paid,PAID,0,0,0
54,STU-1054,Meena Sharma,meena.28@mail.com,BCA,2024-06-03 06:00:00,Admitted,172777,88754,Partially Paid,PENDING,84023,1,1
55,STU-1055,Manish Verma,manish.53@mail.com,BBA,2024-06-03 07:00:00,Admitted,181662,158755,Partially Paid,PENDING,22907,1,0
56,STU-1056,Priya Patel,priya.50@mail.com,BBA,2024-06-03 08:00:00,Admitted,120945,114259,Pending,PENDING,6686,1,0
57,STU-1057,Emma Anderson,emma.85@mail.com,BCA,2024-06-03 09:00:00,Waitlisted,18134,18134,Paid,PAID,0,0,0
58,STU-1058,Rajesh Das,rajesh.46@mail.com,BCA,2024-06-03 10:00:00,Rejected,165107,102669,Partially Paid,PENDING,62438,1,1
59,STU-1059,Rahul Sharma,rahul.20@mail.com,MBA,2024-06-03 11:00:00,Rejected,87025,51258,Partially Paid,PENDING,35767,1,1
60,STU-1060,Neha Singh,neha.84@mail.com,BCA,2024-06-03 12:00:00,Waitlisted,29731,29731,Paid,PAID,0,0,0
61,STU-1061,Pooja Sharma,pooja.22@mail.com,BBA,2024-06-03 13:00:00,Rejected,66119,66119,Paid,PAID,0,0,0
62,STU-1062,Rohit Gupta,rohit.31@mail.com,BBA,2024-06-03 14:00:00,Rejected,123142,16892,Partially Paid,PENDING,106250,1,1
63,STU-1063,Karthik Sharma,karthik.37@mail.com,B.Tech,2024-06-03 15:00:00,Rejected,178759,178759,Partially Paid,PAID,0,0,0
64,STU-1064,Anita Sharma,anita.47@mail.com,MBA,2024-06-03 16:00:00,Rejected,132815,132815,Paid,PAID,0,0,0
65,STU-1065,Emily Lee,emily.49@mail.com,BBA,2024-06-03 17:00:00,Waitlisted,186642,159785,Partially Paid,PENDING,26857,1,0
66,STU-1066,Rohit Nair,rohit.61@mail.com,MBA,2024-06-03 18:00:00,Admitted,110364,24819,Partially Paid,PENDING,85545,1,1
67,STU-1067,Manish Sharma,manish.66@mail.com,B.Tech,2024-06-03 19:00:00,Admitted,162677,115898,Partially Paid,PENDING,46779,1,0
68,STU-1068,Rahul Reddy,rahul.89@mail.com,BBA,2024-06-03 20:00:00,Admitted,197076,175914,Partially Paid,PENDING,21162,1,0
69,STU-1069,Rakesh Verma,rakesh.13@mail.com,B.Tech,2024-06-03 21:00:00,Waitlisted,115290,91727,Partially Paid,PENDING,23563,1,0
70,STU-1070,Divya Verma,divya.63@mail.com,MCA,2024-06-03 22:00:00,Waitlisted,123470,123470,Paid,PAID,0,0,0
71,STU-1071,Rakesh Choudhary,rakesh.97@mail.com,MCA,2024-06-03 23:00:00,Rejected,38856,38856,Paid,PAID,0,0,0
72,STU-1072,Rakesh Choudhary,rakesh.30@mail.com,MBA,2024-06-04 00:00:00,Waitlisted,115217,115217,Partially Paid,PAID,0,0,0
73,STU-1073,Deepa Iyer,deepa.75@mail.com,BBA,2024-06-04 01:00:00,Waitlisted,80546,11643,Partially Paid,PENDING,68903,1,1
74,STU-1074,Divya Reddy,divya.48@mail.com,B.Tech,2024-06-04 02:00:00,Waitlisted,136498,136498,Paid,PAID,0,0,0
