,student_id,student_name_x,email_x,phone_x,course,admission_date,admission_status,total_fee,paid_fee,payment_status
0,STU-1000,Kiran Iyer,kiran.39@mail.com,9428007506,BBA,2024-06-01 00:00:00,Rejected,137576,106092,Paid
1,STU-1001,Rohit Reddy,rohit.46@mail.com,9603451987,MBA,2024-06-01 01:00:00,Rejected,118699,72408,Paid
2,STU-1002,Emma Taylor,emma.86@mail.com,9246608643,B.Tech,2024-06-01 02:00:00,Waitlisted,101768,155578,Paid
3,STU-1003,Vivek Nair,vivek.81@mail.com,9222676340,B.Tech,2024-06-01 03:00:00,Waitlisted,97216,43360,Partially Paid
4,STU-1004,Amit Sharma,amit.36@mail.com,9769061232,BBA,2024-06-01 04:00:00,Waitlisted,174295,86980,Pending
5,STU-1005,Manish Verma,manish.16@mail.com,9375775418,B.Tech,2024-06-01 05:00:00,Waitlisted,179434,93158,Partially Paid
6,STU-1006,Anita Nair,anita.60@mail.com,9477196624,BCA,2024-06-01 06:00:00,Rejected,149305,82440,Pending
7,STU-1007,Michael Thomas,michael.60@mail.com,9545648337,B.Tech,2024-06-01 07:00:00,Waitlisted,147469,166207,Pending
8,STU-1008,Manish Iyer,manish.75@mail.com,9845381422,MCA,2024-06-01 08:00:00,Waitlisted,196568,139594,Partially Paid
9,STU-1009,Karthik Das,karthik.73@mail.com,9714821510,B.Tech,2024-06-01 09:00:00,Waitlisted,67394,61668,Pending
10,STU-1010,Sarah Lee,sarah.87@mail.com,9634705048,BCA,2024-06-01 10:00:00,Waitlisted,92564,110685,Partially Paid
11,STU-1011,Nisha Singh,nisha.71@mail.com,9687803527,MCA,2024-06-01 11:00:00,Admitted,158215,167646,Partially Paid
12,STU-1012,Amit Patel,amit.20@mail.com,9226196622,BCA,2024-06-01 12:00:00,Admitted,132948,64860,Paid
13,STU-1013,Priya Reddy,priya.47@mail.com,9410523681,BBA,2024-06-01 13:00:00,Waitlisted,142113,80825,Pending
14,STU-1014,Emily Brown,emily.75@mail.com,9443095370,MBA,2024-06-01 14:00:00,Rejected,186020,63025,Partially Paid
15,STU-1015,Rohit Singh,rohit.86@mail.com,9554639175,MCA,2024-06-01 15:00:00,Waitlisted,97909,162385,Paid
16,STU-1016,Amit Choudhary,amit.83@mail.com,9378742126,MBA,2024-06-01 16:00:00,Admitted,125285,80004,Partially Paid
17,STU-1017,Divya Singh,divya.48@mail.com,9361993143,BBA,2024-06-01 17:00:00,Rejected,197401,32221,Partially Paid
18,STU-1018,Karthik Iyer,karthik.75@mail.com,9301540983,MBA,2024-06-01 18:00:00,Waitlisted,121381,87930,Partially Paid
19,STU-1019,Kiran Iyer,kiran.15@mail.com,9873807722,MCA,2024-06-01 19:00:00,Admitted,171254,91465,Partially Paid
20,STU-1020,Sanjay Patel,sanjay.84@mail.com,9361600094,MBA,2024-06-01 20:00:00,Admitted,127893,54364,Paid
21,STU-1021,Kiran Patel,kiran.96@mail.com,9199092466,BBA,2024-06-01 21:00:00,Admitted,105126,154547,Pending
22,STU-1022,Rajesh Nair,rajesh.13@mail.com,9570529903,BCA,2024-06-01 22:00:00,Waitlisted,150234,75226,Pending
23,STU-1023,Arjun Nair,arjun.82@mail.com,9539900152,BCA,2024-06-01 23:00:00,Admitted,168572,50585,Partially Paid
24,STU-1024,Priya Das,priya.48@mail.com,9946411289,BBA,2024-06-02 00:00:00,Rejected,199268,113069,Partially Paid
25,STU-1025,Divya Sharma,divya.79@mail.com,9350117829,B.Tech,2024-06-02 01:00:00,Rejected,178224,144261,Pending
26,STU-1026,Manish Singh,manish.19@mail.com,9909335792,BBA,2024-06-02 02:00:00,Waitlisted,145244,27134,Paid
27,STU-1027,Divya Nair,divya.62@mail.com,9771834333,MCA,2024-06-02 03:00:00,Admitted,198981,48104,Paid
28,STU-1028,Anita Gupta,anita.62@mail.com,9281530276,MCA,2024-06-02 04:00:00,Rejected,139775,91894,Paid
29,STU-1029,Deepa Reddy,deepa.32@mail.com,9433595302,B.Tech,2024-06-02 05:00:00,Waitlisted,180053,24427,Partially Paid
30,STU-1030,Vivek Gupta,vivek.85@mail.com,9524501912,MBA,2024-06-02 06:00:00,Admitted,94954,85398,Paid
31,STU-1031,Nisha Choudhary,nisha.91@mail.com,9462916276,MCA,2024-06-02 07:00:00,Admitted,131073,23271,Paid
32,STU-1032,Arjun Singh,arjun.11@mail.com,9654596318,MBA,2024-06-02 08:00:00,Admitted,173233,167009,Paid
33,STU-1033,Neha Gupta,neha.13@mail.com,9606713623,BBA,2024-06-02 09:00:00,Rejected,144689,34698,Partially Paid
34,STU-1034,Rohit Sharma,rohit.99@mail.com,9757338088,BCA,2024-06-02 10:00:00,Waitlisted,129219,49755,Paid
35,STU-1035,Manish Gupta,manish.46@mail.com,9728372418,MBA,2024-06-02 11:00:00,Admitted,132036,81281,Partially Paid
36,STU-1036,Amit Reddy,amit.93@mail.com,9510976260,MCA,2024-06-02 12:00:00,Waitlisted,92487,166561,Pending
37,STU-1037,Rahul Nair,rahul.32@mail.com,9100779241,B.Tech,2024-06-02 13:00:00,Admitted,195226,72760,Paid
38,STU-1038,Michael Thomas,michael.18@mail.com,9801828228,BCA,2024-06-02 14:00:00,Admitted,97635,143990,Partially Paid
39,STU-1039,Rahul Nair,rahul.43@mail.com,9205644579,MCA,2024-06-02 15:00:00,Rejected,182742,72056,Partially Paid
40,STU-1040,Nisha Singh,nisha.94@mail.com,9652378430,MCA,2024-06-02 16:00:00,Rejected,144762,177555,Pending
41,STU-1041,Priya Das,priya.22@mail.com,9767453865,BCA,2024-06-02 17:00:00,Admitted,165232,99140,Paid
42,STU-1042,Emily Williams,emily.47@mail.com,9128931436,BCA,2024-06-02 18:00:00,Rejected,175510,176499,Pending
43,STU-1043,Sneha Singh,sneha.73@mail.com,9420608770,MCA,2024-06-02 19:00:00,Waitlisted,69702,120396,Partially Paid
44,STU-1044,Sneha Reddy,sneha.71@mail.com,9611947499,MCA,2024-06-02 20:00:00,Admitted,177437,40361,Paid
45,STU-1045,Sneha Das,sneha.15@mail.com,9169976089,B.Tech,2024-06-02 21:00:00,Waitlisted,160094,113538,Partially Paid
46,STU-1046,Manish Das,manish.43@mail.com,9873999086,MCA,2024-06-02 22:00:00,Admitted,130623,76114,Paid
47,STU-1047,Arjun Sharma,arjun.50@mail.com,9500418931,BCA,2024-06-02 23:00:00,Admitted,62667,83185,Partially Paid
48,STU-1048,Sarah Moore,sarah.74@mail.com,9824648108,BBA,2024-06-03 00:00:00,Rejected,168878,51874,Partially Paid
49,STU-1049,Divya Singh,divya.88@mail.com,9180548735,MCA,2024-06-03 01:00:00,Admitted,190153,159149,Paid
50,STU-1050,Manish Gupta,manish.30@mail.com,9776571896,MCA,2024-06-03 02:00:00,Rejected,146592,40124,Pending
51,STU-1051,Neha Verma,neha.73@mail.com,9909014938,BBA,2024-06-03 03:00:00,Waitlisted,190543,14124,Pending
52,STU-1052,Divya Reddy,divya.60@mail.com,9802099195,MBA,2024-06-03 04:00:00,Waitlisted,164978,165968,Partially Paid
